name;id;calories;proteins;fat;carbohydrate;serat;kalsium;fosfor;zat_besi;natrium;kalium;tembaga;seng;vitamin_a;provitamin_a;total_karotenoid;vitamin_b1;vitamin_b2;vitamin_b3;vitamin_c;bdd;url_image;indeks_glikemik;referensi_ig;status_pencocokan_ig;klasifikasi_ig
Spaghetti;1165;139;7.4;2.1;22.6;0;109;53;4.7;0;0;0;0;0;0;278.75;0.35;0;0;0;100;https://images.immediate.co.uk/production/volatile/sites/30/2022/09/Spicy-tomato-spaghetti-caf3053.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Srikaya;1166;101;1.7;0.6;35.2;1.1;62;80;2;10;68;0.1;0.2;0;0;0;0.1;0.02;0.1;0;100;https://images.tokopedia.net/blog-tokopedia-com/uploads/2021/02/Manfaat-Buah-Srikaya-untuk-Kesehatan.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sukiyaki masakan;1167;75;5.6;0.4;12.2;0.2;109;59;0.5;225;0;0;0;0;0;278.75;0.37;0;0;0;100;https://www.masakapahariini.com/wp-content/uploads/2022/05/sukiyaki-praktis.jpg;55;Tidak ditemukan dalam literatur – perlu pengisian manual;not_found;Sedang
Sukun muda segar;1168;119;1.4;0.2;28.1;1.4;24;44;1.4;24;414.4;0.1;0.1;0;28;278.75;0.17;0.17;3.5;12.5;84;https://blog.titipku.com/wp-content/uploads/2019/08/27891195_273863213147902_7929265216242581504_n-300x300.jpg;87;Rakhmawati et al. (2011) dalam Arif et al. (2013);partial→sukun;Tinggi
Sukun tua segar;1169;126;1.6;0.2;24.5;1.5;37;47;1.6;25;436;0.1;0.1;0;30;278.75;0.18;0.17;3.5;12.5;88;https://cf.shopee.co.id/file/f43b5d5a9dd930d9954b304579ed3865;87;Rakhmawati et al. (2011) dalam Arif et al. (2013);partial→sukun;Tinggi
Susu asam untuk bayi bubuk;1170;418;19;9;65.5;0;337.5;440;7;188;486.5;0;0;0;60;0;0.555;0.3;0.7;12.5;100;https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1535275935/ctbvshsk4dqp293ivbec.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu bubuk;1171;513;24.6;30;36.2;0;337.5;440;0.6;225;775;0.02;2.5;0;60;0;0.29;0.3;1.6;6;100;https://asset.kompas.com/crops/JH48SvD1Mh2-p1G2lmViLdqVQ3c=/0x0:997x665/750x500/data/photo/2022/07/13/62ce704885550.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
Susu Kambing;1172;64;4.3;2.3;6.6;0;62;196.5;4;108;191.5;0.105;1.05;0;0;0;0.135;0.055;0.45;0;100;https://cdn.hellosehat.com/2019/04/0301a50d-shutterstock_1082562986-e1616553170498.jpg?w=828&q=75;31;Atkinson et al. (2008);partial→susu;Rendah
Susu Kedelai;1173;41;3.5;2.5;5;0.2;50;45;0.7;128;287.9;0.12;1;0;0;200;0.08;0.05;0.7;2;100;https://www.astronauts.id/blog/wp-content/uploads/2022/11/Ini-Keunggulan-Susu-Kedelai-Dibanding-Susu-Sapi-yang-Tidak-Banyak-Orang-Tahu-1200x900.jpg;34;Atkinson et al. (2008);exact;Rendah
Susu Kental Manis;1174;336;8.2;10;55;0;275;209;0.2;150;320;0.02;1;0;46;0;0.05;0.3;0.4;1;100;https://asset.kompas.com/crops/C220cRbRPu0EoI8SMHWr0HeFGuU=/0x0:750x500/750x500/data/photo/2022/06/03/6299dc0edf868.jpg;31;Atkinson et al. (2008);partial→susu;Rendah
